timestamp, device, port, bytesReceived, bytesSent
2022-10-20T16:02:25.817192,of:0000000000000003,1,70,348
2022-10-20T16:02:25.818437,of:0000000000000003,2,0,348
2022-10-20T16:02:25.818499,of:0000000000000003,3,348,348
2022-10-20T16:02:25.818539,of:0000000000000004,1,70,278
2022-10-20T16:02:25.818562,of:0000000000000004,2,70,278
2022-10-20T16:02:25.818583,of:0000000000000004,3,348,278
2022-10-20T16:02:25.818607,of:0000000000000001,1,278,348
2022-10-20T16:02:25.818627,of:0000000000000001,2,278,348
2022-10-20T16:02:25.818650,of:0000000000000002,1,348,348
2022-10-20T16:02:25.818669,of:0000000000000002,2,278,348
2022-10-20T16:02:25.818691,of:0000000000000002,3,348,278
2022-10-20T16:02:25.818714,of:0000000000000007,1,0,278
2022-10-20T16:02:25.818733,of:0000000000000007,2,70,348
2022-10-20T16:02:25.818752,of:0000000000000007,3,348,278
2022-10-20T16:02:25.818840,of:0000000000000005,1,348,348
2022-10-20T16:02:25.818880,of:0000000000000005,2,278,348
2022-10-20T16:02:25.818904,of:0000000000000005,3,348,278
2022-10-20T16:02:25.818929,of:0000000000000006,1,70,278
2022-10-20T16:02:25.818950,of:0000000000000006,2,70,278
2022-10-20T16:02:25.818969,of:0000000000000006,3,348,348
2022-10-20T16:02:26.820051,of:0000000000000003,1,70,348
2022-10-20T16:02:26.820131,of:0000000000000003,2,0,348
2022-10-20T16:02:26.820153,of:0000000000000003,3,348,348
2022-10-20T16:02:26.820174,of:0000000000000004,1,70,278
2022-10-20T16:02:26.820190,of:0000000000000004,2,70,278
2022-10-20T16:02:26.820205,of:0000000000000004,3,348,278
2022-10-20T16:02:26.820223,of:0000000000000001,1,278,348
2022-10-20T16:02:26.820238,of:0000000000000001,2,278,348
2022-10-20T16:02:26.820256,of:0000000000000002,1,348,348
2022-10-20T16:02:26.820271,of:0000000000000002,2,278,348
2022-10-20T16:02:26.820286,of:0000000000000002,3,348,278
2022-10-20T16:02:26.820304,of:0000000000000007,1,0,278
2022-10-20T16:02:26.820318,of:0000000000000007,2,70,348
2022-10-20T16:02:26.820470,of:0000000000000007,3,348,278
2022-10-20T16:02:26.820499,of:0000000000000005,1,348,348
2022-10-20T16:02:26.820517,of:0000000000000005,2,278,348
2022-10-20T16:02:26.820541,of:0000000000000005,3,348,278
2022-10-20T16:02:26.820560,of:0000000000000006,1,70,278
2022-10-20T16:02:26.820611,of:0000000000000006,2,70,278
2022-10-20T16:02:26.820640,of:0000000000000006,3,348,348
2022-10-20T16:02:27.822135,of:0000000000000003,1,0,556
2022-10-20T16:02:27.822284,of:0000000000000003,2,0,556
